#MJD	band	Flux	Flux_err	FilterSet	Source
56499.21	Bessell_B	7.929522641539124e-16	3.8720183658977594e-17	Std	LCOGT
56499.21	Bessell_V	1.1489920688144785e-15	2.4418447590950202e-17	Std	LCOGT
56499.21	Bessell_R	1.1623384043326935e-15	2.1393764833369867e-17	Std	LCOGT
56499.22	Bessell_I	7.824459204318818e-16	1.4422697190050357e-17	Std	LCOGT
56499.23	sdss_g'	1.0086844102756618e-15	1.857090577393115e-17	Std	LCOGT
56499.23	sdss_r'	1.1330094750362025e-15	2.2903101179904864e-17	Std	LCOGT
56499.23	sdss_i'	8.4332292383486825e-16	1.8656244538073523e-17	Std	LCOGT
56499.23	sdss_z'	8.601795404990664e-16	3.40800134904543e-17	Std	LCOGT
56503.74	Bessell_B	7.44262212846216e-16	2.388131087948918e-17	Std	LCOGT
56503.74	Bessell_V	1.0335249910588225e-15	2.195767380271491e-17	Std	LCOGT
56503.75	sdss_g'	9.039692914122988e-16	1.6647566856032638e-17	Std	LCOGT
56503.79	sdss_r'	1.0688113883955601e-15	2.359713454899289e-17	Std	LCOGT
56503.8	sdss_i'	7.750683706467944e-16	1.4272785455550557e-17	Std	LCOGT
56504.19	sdss_i'	7.538336207660603e-16	1.3893593493394594e-17	Std	P60
56504.19	sdss_i'	7.538336207660603e-16	1.3893593493394594e-17	Std	P60
56504.19	sdss_r'	1.009818552023078e-15	1.85653926231047e-17	Std	P60
56504.19	sdss_r'	1.009818552023078e-15	1.85653926231047e-17	Std	P60
56504.19	sdss_g'	8.719136427806569e-16	1.607056518066309e-17	Std	P60
56504.19	sdss_g'	8.719136427806569e-16	1.607056518066309e-17	Std	P60
56504.45	sdss_r'	1.011553635445798e-15	2.6026251340800982e-17	Std	LCOGT
56504.45	sdss_i'	7.583839243119319e-16	2.22964873747708e-17	Std	LCOGT
56505.18	sdss_i'	7.401827101284456e-16	1.3635742959128537e-17	Std	P60
56505.18	sdss_i'	7.401827101284456e-16	1.3635742959128537e-17	Std	P60
56505.18	sdss_r'	9.83792300682277e-16	1.804486759628868e-17	Std	P60
56505.18	sdss_r'	9.83792300682277e-16	1.804486759628868e-17	Std	P60
56505.18	sdss_g'	8.398579941490151e-16	1.5472193072872442e-17	Std	P60
56505.18	sdss_g'	8.398579941490151e-16	1.5472193072872442e-17	Std	P60
56506.18	sdss_i'	7.401827101284456e-16	1.3620575280642297e-17	Std	P60
56506.18	sdss_i'	7.401827101284456e-16	1.3620575280642297e-17	Std	P60
56506.18	sdss_r'	9.542958824960359e-16	1.752434256947266e-17	Std	P60
56506.18	sdss_r'	9.542958824960359e-16	1.752434256947266e-17	Std	P60
56506.18	sdss_g'	8.334468644226867e-16	1.5365340910766966e-17	Std	P60
56506.18	sdss_g'	8.334468644226867e-16	1.5365340910766966e-17	Std	P60
56506.42	sdss_g'	8.377209509069057e-16	1.6968123342349055e-17	Std	LCOGT
56506.43	sdss_i'	6.795119961834909e-16	2.184145702018364e-17	Std	LCOGT
56507.16	sdss_i'	7.068138174587205e-16	1.3013868141192753e-17	Std	P60
56507.16	sdss_i'	7.068138174587205e-16	1.3013868141192753e-17	Std	P60
56507.17	sdss_r'	9.31739798000675e-16	1.7159975050701446e-17	Std	P60
56507.17	sdss_r'	9.31739798000675e-16	1.7159975050701446e-17	Std	P60
56507.17	sdss_g'	8.056653022752639e-16	1.4831080100239605e-17	Std	P60
56507.17	sdss_g'	8.056653022752639e-16	1.4831080100239605e-17	Std	P60
56508.02	Bessell_B	6.561564057180036e-16	1.6925589264103978e-17	Std	LCOGT
56508.03	Bessell_V	9.767379036380081e-16	1.8001506712398172e-17	Std	LCOGT
56508.03	sdss_g'	8.44132080633234e-16	1.5536304370135725e-17	Std	LCOGT
56508.04	sdss_r'	8.987732129689938e-16	1.6552695852749422e-17	Std	LCOGT
56508.04	sdss_i'	7.052970496100966e-16	1.2983532784220275e-17	Std	LCOGT
56508.15	Bessell_I	6.773412445529723e-16	3.123944533067588e-17	Std	LCOGT
56508.15	sdss_z'	7.552130989484673e-16	3.4761613760263384e-17	Std	LCOGT
56508.19	sdss_i'	6.840622997293626e-16	1.2589173143578071e-17	Std	P60
56508.19	sdss_i'	6.840622997293626e-16	1.2589173143578071e-17	Std	P60
56508.19	sdss_r'	9.02243379814434e-16	1.6604748355431025e-17	Std	P60
56508.19	sdss_r'	9.02243379814434e-16	1.6604748355431025e-17	Std	P60
56508.19	sdss_g'	7.97117129306826e-16	1.4681487073291944e-17	Std	P60
56508.19	sdss_g'	7.97117129306826e-16	1.4681487073291944e-17	Std	P60
56508.2	sdss_i'	7.0226351391284895e-16	1.2922862070275319e-17	Std	P60
56508.2	sdss_i'	7.0226351391284895e-16	1.2922862070275319e-17	Std	P60
56508.2	sdss_r'	9.05713546659874e-16	1.6674151692339827e-17	Std	P60
56508.2	sdss_r'	9.05713546659874e-16	1.6674151692339827e-17	Std	P60
56508.2	sdss_g'	7.992541725489356e-16	1.4745598370555227e-17	Std	P60
56508.2	sdss_g'	7.992541725489356e-16	1.4745598370555227e-17	Std	P60
56509.16	sdss_i'	6.552437106055092e-16	1.2073472075045955e-17	Std	P60
56509.16	sdss_i'	6.552437106055092e-16	1.2073472075045955e-17	Std	P60
56509.16	sdss_r'	8.848925455872333e-16	1.6292433339341413e-17	Std	P60
56509.16	sdss_r'	8.848925455872333e-16	1.6292433339341413e-17	Std	P60
56509.16	sdss_g'	7.821578266120598e-16	1.4403671451817714e-17	Std	P60
56509.16	sdss_g'	7.821578266120598e-16	1.4403671451817714e-17	Std	P60
56509.97	Bessell_B	6.584749795897986e-16	1.694877500282193e-17	Std	LCOGT
56509.97	Bessell_V	8.688424375384606e-16	1.5995029623529395e-17	Std	LCOGT
56509.98	sdss_g'	8.099393887594827e-16	1.4937932262345078e-17	Std	LCOGT
56509.98	sdss_r'	8.553961274009922e-16	1.5754557478298192e-17	Std	LCOGT
56509.99	sdss_i'	6.431095678165182e-16	1.1861124576238615e-17	Std	LCOGT
56510.14	Bessell_U	2.6328910848194767e-16	1.1933247362850867e-16	Std	LCOGT
56510.14	Bessell_R	8.911261099883985e-16	4.026070704862518e-17	Std	LCOGT
56510.15	Bessell_I	7.138359236775935e-16	8.481363428562002e-17	Std	LCOGT
56510.15	sdss_z'	7.129538822203039e-16	4.6621458454941477e-17	Std	LCOGT
56510.16	Bessell_B	6.167406498974874e-16	3.6865324561541543e-17	Std	LCOGT
56510.17	Bessell_V	8.347701850859721e-16	1.7660784187873285e-17	Std	LCOGT
56510.17	sdss_g'	7.629244374330748e-16	1.4040374100659106e-17	Std	LCOGT
56510.17	sdss_r'	8.415154600192317e-16	1.5494294964890183e-17	Std	LCOGT
56510.17	sdss_i'	6.34008960724775e-16	1.516767848623864e-17	Std	LCOGT
56510.96	Bessell_R	8.405896576261074e-16	1.5480999906981817e-17	Std	LCOGT
56510.97	Bessell_I	6.247889066135175e-16	1.1517720731730498e-17	Std	LCOGT
56510.97	sdss_z'	6.925058741260313e-16	3.189889262706522e-17	Std	LCOGT
56511.46	Bessell_B	6.584749795897986e-16	2.967774555897684e-17	Std	LCOGT
56511.46	Bessell_V	8.972359812488679e-16	1.6525042439457e-17	Std	LCOGT
56511.46	sdss_g'	8.334468644226867e-16	1.5365340910766966e-17	Std	LCOGT
56512.15	Bessell_U	2.4570042189271175e-16	7.711962581434234e-17	Std	LCOGT
56512.16	Bessell_R	7.917377536758928e-16	1.9035397056462953e-17	Std	LCOGT
56512.16	Bessell_I	6.364672039333963e-16	1.3473835532810201e-17	Std	LCOGT
56512.17	sdss_z'	7.170434838391584e-16	2.2492808903699837e-17	Std	LCOGT
56512.18	Bessell_B	5.657320247179961e-16	2.6199884751284244e-17	Std	LCOGT
56512.18	Bessell_V	8.631637287963792e-16	1.7490422925610842e-17	Std	LCOGT
56512.19	sdss_g'	7.265947023172141e-16	1.3399261128026271e-17	Std	LCOGT
56512.19	sdss_r'	7.911980407603498e-16	1.5320786622618176e-17	Std	LCOGT
56512.19	sdss_i'	6.461431035137661e-16	1.7291153474312048e-17	Std	LCOGT
56512.42	Bessell_B	6.607935534615937e-16	2.990960294615635e-17	Std	LCOGT
56512.46	Bessell_V	8.745211462805421e-16	2.2525544676923055e-17	Std	LCOGT
56512.46	sdss_g'	7.992541725489356e-16	1.470285750571304e-17	Std	LCOGT
56512.46	sdss_r'	7.911980407603498e-16	1.457470075084855e-17	Std	LCOGT
56512.46	sdss_i'	6.188412822385365e-16	1.5319355271101024e-17	Std	LCOGT
56513.06	Bessell_R	8.372205608019545e-16	1.8530032532840042e-17	Std	LCOGT
56513.06	Bessell_I	6.277084809434872e-16	2.0291041593289472e-17	Std	LCOGT
56513.06	sdss_z'	7.429442940919037e-16	3.421633354441612e-17	Std	LCOGT
56514.45	Bessell_B	6.839792921795444e-16	2.5272455202566218e-17	Std	LCOGT
56514.46	Bessell_V	8.707353404524877e-16	1.603288768180994e-17	Std	LCOGT
56515.07	Bessell_B	5.819620418205614e-16	3.5474180238464504e-17	Std	LCOGT
56515.07	sdss_g'	7.223206158329952e-16	1.461737577602866e-17	Std	LCOGT
56515.08	sdss_r'	7.634367059968287e-16	1.4765559927347755e-17	Std	LCOGT
56515.08	sdss_i'	6.34008960724775e-16	1.460647438224781e-17	Std	LCOGT
56516.41	Bessell_B	6.213777976410777e-16	2.1191765188206902e-17	Std	LCOGT
56516.41	Bessell_V	8.309843792579177e-16	1.529465554533935e-17	Std	LCOGT
56516.41	sdss_g'	7.671985239172937e-16	1.4125855830343487e-17	Std	LCOGT
56516.42	sdss_r'	7.495560386150682e-16	1.3811264044851718e-17	Std	LCOGT
56516.42	sdss_i'	5.718214789311966e-16	1.0526368869449615e-17	Std	LCOGT
56517.97	Bessell_U	1.9266376694670787e-16	5.493082119407542e-17	Std	LCOGT
56517.98	Bessell_B	6.32970667000053e-16	1.2821713511026714e-17	Std	LCOGT
56517.98	Bessell_V	7.760901947511305e-16	1.4291417000904965e-17	Std	LCOGT
56517.99	Bessell_R	7.546776886102126e-16	1.389752439963003e-17	Std	LCOGT
56517.99	Bessell_I	5.38661463879411e-16	9.911954850247158e-18	Std	LCOGT
56518.04	sdss_g'	7.052242698961195e-16	1.297185247960438e-17	Std	LCOGT
56518.04	sdss_r'	7.096491198925067e-16	1.3065178173082093e-17	Std	LCOGT
56518.04	sdss_i'	5.566538004449581e-16	1.025335065669732e-17	Std	LCOGT
56518.05	sdss_z'	6.911426735864131e-16	1.7176326799188968e-17	Std	LCOGT
56518.41	Bessell_U	2.4082970868338485e-16	7.711962581434234e-17	Std	LCOGT
56518.42	Bessell_B	6.051477805385121e-16	2.007884972974527e-17	Std	LCOGT
56518.42	Bessell_V	7.950192238914019e-16	1.463213952542985e-17	Std	LCOGT
56518.42	Bessell_R	7.732077211430526e-16	1.4234434082045307e-17	Std	LCOGT
56518.43	Bessell_I	5.634778456841537e-16	1.0379086743042312e-17	Std	LCOGT
56519.01	Bessell_B	5.634134508462009e-16	2.388131087948918e-17	Std	LCOGT
56519.01	sdss_g'	7.244576590751046e-16	1.399763323581692e-17	Std	LCOGT
56519.01	Bessell_V	7.041598840180988e-16	1.8796525936289575e-17	Std	LCOGT
56519.01	sdss_r'	7.079140364697867e-16	1.3047827338854892e-17	Std	LCOGT
56519.02	sdss_i'	5.35419050564224e-16	9.858991016055115e-18	Std	LCOGT
56519.02	Bessell_R	6.889803005392342e-16	1.270149502705581e-17	Std	LCOGT
56519.02	Bessell_I	5.38661463879411e-16	1.0408282486342008e-17	Std	LCOGT
56522.11	sdss_g'	6.432500158749454e-16	2.3080067014782095e-17	Std	LCOGT
56522.12	sdss_r'	6.228949487565035e-16	1.6049521660160604e-17	Std	LCOGT
56522.12	sdss_i'	4.959830865000035e-16	1.547103205596341e-17	Std	LCOGT
56522.12	sdss_z'	6.311618498432136e-16	1.9221127608616226e-17	Std	LCOGT
56524.03	Bessell_B	5.958734850513319e-16	3.501046546410549e-17	Std	LCOGT
56524.04	Bessell_V	6.871237577918545e-16	2.0821932054298623e-17	Std	LCOGT
56524.04	Bessell_R	6.788730100667761e-16	1.2516194701727409e-17	Std	LCOGT
56524.05	Bessell_I	5.167646564046383e-16	3.050955174818345e-17	Std	LCOGT
56525.12	sdss_g'	6.154684537275225e-16	3.0132309713743294e-17	Std	LCOGT
56525.12	sdss_r'	6.315703658701038e-16	1.7350834227200656e-17	Std	LCOGT
56525.12	sdss_i'	4.56547122435783e-16	1.302903581967899e-17	Std	LCOGT
56525.13	sdss_z'	6.434306546997771e-16	2.0175367986348945e-17	Std	LCOGT
56526.4	Bessell_V	6.81445049049773e-16	1.569216515728505e-17	Std	LCOGT
56526.4	Bessell_R	6.468665902373251e-16	1.2499349217606648e-17	Std	LCOGT
56526.41	Bessell_I	5.050863590847595e-16	1.9999084160292498e-17	Std	LCOGT
56526.41	sdss_g'	6.111943672433037e-16	4.10312302485015e-17	Std	LCOGT
56526.42	sdss_i'	4.398626761009205e-16	4.080105512798194e-17	Std	LCOGT
56526.43	sdss_z'	6.420674541601589e-16	4.0759696134583346e-17	Std	LCOGT
56528.16	sdss_i'	4.550303545871592e-16	8.387726202889967e-18	Std	P60
56528.16	sdss_i'	4.550303545871592e-16	8.387726202889967e-18	Std	P60
56528.16	sdss_r'	5.968686974157025e-16	1.1000428900045214e-17	Std	P60
56528.16	sdss_r'	5.968686974157025e-16	1.1000428900045214e-17	Std	P60
56528.16	sdss_g'	5.70590545643224e-16	1.051425275117851e-17	Std	P60
56528.16	sdss_g'	5.70590545643224e-16	1.051425275117851e-17	Std	P60
56528.38	Bessell_B	5.263162688974799e-16	2.4808740428207204e-17	Std	LCOGT
56528.39	Bessell_V	6.360153791131215e-16	1.2303868941176458e-17	Std	LCOGT
56528.39	Bessell_R	5.693773632818122e-16	1.1016946614979443e-17	Std	LCOGT
56528.39	Bessell_I	4.583731698052442e-16	1.0963001609036252e-17	Std	LCOGT
56528.4	sdss_g'	6.304277564222887e-16	1.1625515237075426e-17	Std	LCOGT
56528.41	sdss_r'	5.864581968793821e-16	1.0809569723546008e-17	Std	LCOGT
56528.42	sdss_i'	4.535135867385352e-16	8.357390845917489e-18	Std	LCOGT
56528.42	sdss_z'	5.916290341942866e-16	1.3604741385389354e-17	Std	LCOGT
56528.97	Bessell_B	5.379091382564552e-16	2.2768395421027546e-17	Std	LCOGT
56528.98	sdss_r'	5.847231134566621e-16	1.0792218889318806e-17	Std	LCOGT
56528.98	Bessell_V	6.151934470588229e-16	1.1338488455022612e-17	Std	LCOGT
56528.98	sdss_i'	4.246949976146819e-16	9.403960661467956e-18	Std	LCOGT
56528.98	Bessell_R	5.761155569301176e-16	1.1151710487945553e-17	Std	LCOGT
56529.01	sdss_g'	6.026461942748658e-16	2.778156214742289e-17	Std	LCOGT
56529.03	Bessell_V	6.28443767457013e-16	1.2152436708054286e-17	Std	LCOGT
56529.03	Bessell_R	5.626391696335067e-16	1.0359972734269658e-17	Std	LCOGT
56529.03	Bessell_I	5.10925507744699e-16	1.3634412120958535e-17	Std	LCOGT
56529.37	sdss_g'	6.005091510327563e-16	1.1069883994126968e-17	Std	LCOGT
56529.38	sdss_r'	5.534916118477008e-16	1.0184939691366784e-17	Std	LCOGT
56529.38	sdss_i'	4.398626761009205e-16	8.099540311651433e-18	Std	LCOGT
56529.38	sdss_z'	5.602754217830687e-16	1.8130567176921687e-17	Std	LCOGT
56530.0	Bessell_B	5.796434679487665e-16	2.300025280820705e-17	Std	LCOGT
56530.01	Bessell_V	6.68194728651583e-16	1.4745713700271476e-17	Std	LCOGT
56530.01	sdss_i'	4.444129796467921e-16	1.0632542618853286e-17	Std	LCOGT
56530.01	Bessell_R	6.047528799354159e-16	1.6710720247797565e-17	Std	LCOGT
56530.01	sdss_z'	5.902658336546684e-16	2.2765449011623468e-17	Std	LCOGT
56530.01	Bessell_I	4.831895516099867e-16	1.6057658814833395e-17	Std	LCOGT
56531.1	sdss_g'	6.240166266959604e-16	1.782294063919284e-17	Std	LCOGT
56531.1	sdss_r'	5.517565284249808e-16	1.3221335681126898e-17	Std	LCOGT
56531.11	sdss_i'	4.125608548256909e-16	1.2938029748761558e-17	Std	LCOGT
56533.14	sdss_i'	4.246949976146819e-16	7.826522098899138e-18	Std	P60
56533.14	sdss_i'	4.246949976146819e-16	7.826522098899138e-18	Std	P60
56533.14	sdss_r'	5.326706107750601e-16	9.803221338368369e-18	Std	P60
56533.14	sdss_r'	5.326706107750601e-16	9.803221338368369e-18	Std	P60
56533.15	sdss_g'	5.492201132221294e-16	1.0108214535177714e-17	Std	P60
56533.15	sdss_g'	5.492201132221294e-16	1.0108214535177714e-17	Std	P60
56535.99	sdss_g'	5.663164591590051e-16	1.0428771021494131e-17	Std	LCOGT
56536.0	sdss_r'	5.04909276011539e-16	9.300047145779551e-18	Std	LCOGT
56536.0	sdss_i'	4.23178229766058e-16	1.9414628462385458e-17	Std	LCOGT
56537.16	sdss_i'	3.7919196215596597e-16	6.992299782156013e-18	Std	P60
56537.16	sdss_i'	3.7919196215596597e-16	6.992299782156013e-18	Std	P60
56537.16	sdss_r'	4.840882749388982e-16	8.918328792781137e-18	Std	P60
56537.16	sdss_r'	4.840882749388982e-16	8.918328792781137e-18	Std	P60
56537.17	sdss_g'	5.321237672852539e-16	9.787658048861297e-18	Std	P60
56537.17	sdss_g'	5.321237672852539e-16	9.787658048861297e-18	Std	P60
56539.72	sdss_g'	5.107533348641593e-16	1.1753737831601993e-17	Std	LCOGT
56539.73	sdss_r'	4.51121689907217e-16	8.311049594829112e-18	Std	LCOGT
56539.73	sdss_i'	3.609907479724796e-16	6.643443176972523e-18	Std	LCOGT
56540.72	sdss_g'	5.534941997063484e-16	1.0215066697283186e-17	Std	LCOGT
56540.73	sdss_r'	4.719426909798578e-16	8.675417113600328e-18	Std	LCOGT
56540.73	sdss_i'	3.746416586100944e-16	7.250150316422068e-18	Std	LCOGT
56541.16	sdss_i'	3.6554105151835123e-16	6.7344492478899554e-18	Std	P60
56541.16	sdss_i'	3.6554105151835123e-16	6.7344492478899554e-18	Std	P60
56541.17	sdss_r'	4.545918567526572e-16	8.363102097510715e-18	Std	P60
56541.17	sdss_r'	4.545918567526572e-16	8.363102097510715e-18	Std	P60
56542.09	sdss_g'	5.022051618957215e-16	1.2950482047183287e-17	Std	LCOGT
56542.1	sdss_r'	4.2509543856641597e-16	1.4487946579712543e-17	Std	LCOGT
56542.1	sdss_i'	3.5492367657798414e-16	1.0799387082201912e-17	Std	LCOGT
56542.15	sdss_i'	3.5189014088073644e-16	6.476598713623898e-18	Std	P60
56542.15	sdss_r'	4.407111893708966e-16	8.120190418329905e-18	Std	P60
56542.15	sdss_r'	4.407111893708966e-16	8.120190418329905e-18	Std	P60
56542.15	sdss_i'	3.5189014088073644e-16	6.476598713623898e-18	Std	P60
56542.15	sdss_g'	4.680124700219703e-16	8.612284265701096e-18	Std	P60
56542.15	sdss_g'	4.680124700219703e-16	8.612284265701096e-18	Std	P60
56544.72	sdss_g'	5.128903781062688e-16	1.324966810107861e-17	Std	LCOGT
56544.73	sdss_r'	4.146849380300956e-16	8.016085412966702e-18	Std	LCOGT
56544.73	sdss_i'	3.3368892669725007e-16	6.158077465412887e-18	Std	LCOGT
56675.58	Bessell_B	8.48598037076994e-17	1.3285428285385728e-17	Std	Nickel
56675.58	Bessell_I	3.620272169162438e-17	1.99990841602925e-18	Std	Nickel
56675.58	Bessell_R	4.7167355538138285e-17	2.6110500387183695e-18	Std	Nickel
56675.58	Bessell_V	2.915070487601807e-17	4.561896022805425e-18	Std	Nickel
56685.23	sdss_g'	3.803936970954827e-17	1.5108895721713833e-18	Std	NOT
56685.24	sdss_r'	3.608973519257736e-17	2.6546776367616998e-18	Std	NOT
56698.22	sdss_g'	2.9277492416899506e-17	2.0814801178146072e-18	Std	NOT
56698.24	sdss_r'	2.932290984396911e-17	2.533221797171295e-18	Std	NOT
56721.17	sdss_i'	2.8211881984403865e-17	3.89809337096333e-18	Std	NOT
56724.53	Bessell_R	2.341522292786151e-17	1.9372306738878225e-18	Std	Nickel
56738.49	Bessell_I	1.0729435662638678e-17	1.8831254428304616e-18	Std	Nickel
56738.49	Bessell_R	1.9877671262501136e-17	2.5605135863560786e-18	Std	Nickel
56752.46	sdss_r'	1.3481598194534907e-17	2.6026251340800977e-18	Std	NOT
56752.46	sdss_g'	1.3356520263184082e-17	3.8253074033759215e-18	Std	NOT
56779.01	sdss_g'	6.945390536855723e-18	1.8506794476667862e-18	Std	NOT
56779.02	sdss_r'	1.0289044696729988e-17	1.6778256697703031e-18	Std	NOT
56812.95	sdss_r'	7.929331241830699e-18	2.0473984388096773e-18	Std	NOT
56464.86	swift_UVW2	3.421219509943353e-16	1.3844004528607987e-16	Swift	Swift_UVOT
56470.13	swift_UVW2	6.577228205162414e-16	1.4851805624560291e-16	Swift	Swift_UVOT
56473.51	swift_UVW2	6.471143879272699e-16	1.4533552646891142e-16	Swift	Swift_UVOT
56477.68	swift_UVW2	5.245869915246474e-16	1.4003131017442562e-16	Swift	Swift_UVOT
56460.69	swift_UVW1	3.587083151107535e-16	9.202892919033014e-17	Swift	Swift_UVOT
56464.85	swift_UVW1	7.648626559374105e-16	1.2311425638350831e-16	Swift	Swift_UVOT
56470.13	swift_UVW1	1.6483403761645798e-15	1.5951681059657222e-16	Swift	Swift_UVOT
56473.5	swift_UVW1	1.1820604682669071e-15	1.337487104232798e-16	Swift	Swift_UVOT
56477.67	swift_UVW1	6.544279409090143e-16	1.0879864517612362e-16	Swift	Swift_UVOT
56481.74	swift_UVW1	6.217065438635636e-16	1.362028152016886e-16	Swift	Swift_UVOT
56462.21	swift_U	6.659033293709491e-16	1.0432485493478202e-16	Swift	Swift_UVOT
56464.85	swift_U	2.3917027913239923e-15	1.8922752942957805e-16	Swift	Swift_UVOT
56470.13	swift_U	4.689069277653767e-15	2.996564982169271e-16	Swift	Swift_UVOT
56473.5	swift_U	3.801198171825835e-15	2.5221088599924695e-16	Swift	Swift_UVOT
56477.68	swift_U	2.264071319861227e-15	1.7313486563644677e-16	Swift	Swift_UVOT
56481.75	swift_U	1.0959658962563538e-15	1.4039461860904178e-16	Swift	Swift_UVOT
56486.08	swift_U	4.4393555291396613e-16	8.573505365650971e-17	Swift	Swift_UVOT
56496.72	swift_U	1.7119264759244816e-16	5.188496774681979e-17	Swift	Swift_UVOT
56462.21	swift_B	1.3778849490738703e-15	1.4221824347462958e-16	Swift	Swift_UVOT
56464.85	swift_B	3.0308805986396468e-15	2.1729082445631928e-16	Swift	Swift_UVOT
56470.13	swift_B	6.7145662492939865e-15	3.8235724475146313e-16	Swift	Swift_UVOT
56473.5	swift_B	7.040968775301334e-15	4.0334026428050685e-16	Swift	Swift_UVOT
56477.68	swift_B	6.551364986290313e-15	3.730314582941104e-16	Swift	Swift_UVOT
56481.75	swift_B	4.149974973521978e-15	2.9143082679227377e-16	Swift	Swift_UVOT
56486.08	swift_B	2.175239691177531e-15	1.7229390479959223e-16	Swift	Swift_UVOT
56464.86	swift_V	2.590066204596458e-15	1.9235050490017813e-16	Swift	Swift_UVOT
56470.13	swift_V	4.856374133618359e-15	2.8566906668343286e-16	Swift	Swift_UVOT
56473.51	swift_V	5.503890684767473e-15	3.142359733517761e-16	Swift	Swift_UVOT
56477.68	swift_V	5.5610244981041595e-15	3.1804489424088856e-16	Swift	Swift_UVOT
56481.75	swift_V	4.189812978023681e-15	2.9328690846165772e-16	Swift	Swift_UVOT
56486.09	swift_V	2.685289226824269e-15	1.904460444556219e-16	Swift	Swift_UVOT
56458.756099996055	Bessell_V	1.1128928749318985e-16	3.309275010770429e-17	SUDO_PTS	SUDO_PTS
56459.281799982775	Bessell_V	3.8956698063922527e-16	7.464038825938259e-17	SUDO_PTS	SUDO_PTS
56459.885499967524	Bessell_V	6.678015909797223e-16	9.977401049643119e-17	SUDO_PTS	SUDO_PTS
56458.93319999158	Bessell_B	1.4187467936984447e-16	2.931158272921748e-17	SUDO_PTS	SUDO_PTS
56459.666199973064	Bessell_B	4.966310550597271e-16	6.604133330929143e-17	SUDO_PTS	SUDO_PTS
56460.358499955575	Bessell_B	8.51359470510728e-16	8.772508653986717e-17	SUDO_PTS	SUDO_PTS
56458.849899993686	Bessell_R	8.017516455732083e-17	1.3825771573881044e-17	SUDO_PTS	SUDO_PTS
56459.55119997597	Bessell_R	2.806581644143395e-16	3.0967036324274784e-17	SUDO_PTS	SUDO_PTS
56460.290399957295	Bessell_R	4.811172230156377e-16	4.0898212309085287e-17	SUDO_PTS	SUDO_PTS
56459.21779998439	Bessell_U	1.1582606739387298e-16	3.312370497082366e-17	SUDO_PTS	SUDO_PTS
56460.1081999619	Bessell_U	4.053517143081133e-16	7.181333315422921e-17	SUDO_PTS	SUDO_PTS
56460.81429994406	Bessell_U	6.948805059287668e-16	9.485120251452029e-17	SUDO_PTS	SUDO_PTS
56458.85869999346	sdss_g'	1.2563179339606457e-16	3.1787949232043244e-17	SUDO_PTS	SUDO_PTS
56459.55739997581	sdss_g'	4.3963692544547e-16	7.227809985822137e-17	SUDO_PTS	SUDO_PTS
56460.281299957525	sdss_g'	7.536818405400251e-16	9.728915217707162e-17	SUDO_PTS	SUDO_PTS
56458.82229999438	swift_UVW1	3.2971922631579085e-17	2.7547596538499767e-17	SUDO_PTS	SUDO_PTS
56459.39709997986	swift_UVW1	1.153872099264489e-16	5.5415132944752e-17	SUDO_PTS	SUDO_PTS
56459.98079996512	swift_UVW1	1.9780259325789154e-16	7.477792504484006e-17	SUDO_PTS	SUDO_PTS
56460.56939995025	swift_UVW1	2.802198306819309e-16	9.110587319790542e-17	SUDO_PTS	SUDO_PTS
